"WILAYA","Baladia","latitude","longitude"
"Adrar","Adrar","26.4888155","-1.3582442"
"Adrar","Akabli","26.7133917","1.3691963"
"Adrar","Aoulef","26.9722077","1.0786817"
"Adrar","Bouda","28.010002","-0.426797"
"Adrar","Fenoughil","27.6060965","-0.3021104"
"Adrar","In Zghmir","27.037171","-0.0870205"
"Adrar","Ouled Ahmed Tammi","27.8510411","-0.2812795"
"Adrar","Reggane","26.7207267","0.1751507"
"Adrar","Sali","26.9612527","-0.0251553"
"Adrar","Sebaa","28.2150178","-0.173775"
"Adrar","Tamantit","27.7613334","-0.2657533"
"Adrar","Tamast","27.4237416","-0.2457959"
"Adrar","Tamekten","27.0214579","1.0140877"
"Adrar","Tit","26.9383021","1.4910197"
"Adrar","Tsabit","28.3509683","-0.2161001"
"Adrar","Zaouiet Kounta","27.2300419","-0.1933113"
"Chlef","Abou El Hassen","36.4145938","1.1938241"
"Chlef","Ain Merane","36.175626","0.9723668"
"Chlef","Benairia","36.3536104","1.3750249"
"Chlef","Beni Bouattab","35.9938404","1.6204418"
"Chlef","Beni Haoua","36.5304451","1.5692626"
"Chlef","Beni Rachid","36.2770909","1.5235217"
"Chlef","Boukadir","36.0650746","1.1278681"
"Chlef","Bouzeghaia","36.3389979","1.2380612"
"Chlef","Breira","36.4488016","1.6150342"
"Chlef","Chettia","36.1929178","1.2491044"
"Chlef","Chlef","36.20342","1.2680696"
"Chlef","Dahra","36.2545642","0.8518821"
"Chlef","El Hadjadj","36.0154871","1.3771856"
"Chlef","El Karimia","36.1121742","1.5534446"
"Chlef","El Marsa","36.8091281","3.2546039"
"Chlef","Harchoun","36.1137919","1.5061783"
"Chlef","Harenfa","36.2458302","1.0449847"
"Chlef","Labiodh Medjadja","36.2507309","1.3919112"
"Chlef","Moussadek","36.3536152","1.0084373"
"Chlef","Oued Fodda","36.185966","1.5347489"
"Chlef","Oued Ghoussine","36.5242926","1.4971862"
"Chlef","Oued Sly","36.101565","1.1995738"
"Chlef","Ouled Abbes","35.9138097","5.742386"
"Chlef","Ouled Ben Abdelkader","36.0238897","1.2761855"
"Chlef","Ouled Fares","36.2303457","1.2084133"
"Chlef","Oum Drou","36.1966757","1.3913824"
"Chlef","Sendjas","36.0628381","1.4006069"
"Chlef","Sidi Abderrahmane","36.4929744","1.0940415"
"Chlef","Sidi Akkacha","36.4649578","1.3052519"
"Chlef","Sobha","36.1069315","1.1095344"
"Chlef","Tadjena","36.3233197","1.1387118"
"Chlef","Talassa","36.4257717","1.0936225"
"Chlef","Taougrite","36.2472325","0.9222293"
"Chlef","Tenes","36.5080818","1.3078072"
"Chlef","Zeboudja","36.3540252","1.4302999"
"Laghouat","Aflou","34.11252","2.10029"
"Laghouat","Aïn Madhi","33.797062","2.3059156"
"Laghouat","Ain Sidi Ali","34.2801571","1.8993582"
"Laghouat","Beidha","34.4735384","2.1757086"
"Laghouat","Bennasser Benchohra","33.7562321","3.0047796"
"Laghouat","Brida","33.906785","1.7837801"
"Laghouat","El Assafia","33.8249827","2.9897169"
"Laghouat","El Ghicha","33.9288065","2.1446052"
"Laghouat","El Houita","36.7108134","5.5426934"
"Laghouat","Gueltat Sidi Saad","34.2974095","1.9474932"
"Laghouat","Hadj Mechri","33.9610258","1.6014007"
"Laghouat","Hassi Delaa","33.4165651","3.5518967"
"Laghouat","Hassi R'Mel","32.9500313","3.273521"
"Laghouat","Kheneg","33.7447402","2.7911348"
"Laghouat","Ksar El Hirane","33.787475","3.1406529"
"Laghouat","Laghouat","33.7504405","2.6431094"
"Laghouat","Oued Morra","34.0520191","2.3764371"
"Laghouat","Wadi M'zi","33.9208548","2.4348727"
"Laghouat","Sebgag","34.0295796","1.9269747"
"Laghouat","Sidi Bouzid","34.3431406","2.2617789"
"Laghouat","Sidi Makhlouf","36.1163792","4.5165132"
"Laghouat","Tadjemout","33.8796356","2.5246794"
"Laghouat","Tadjrouna","33.5054035","2.1053512"
"Laghouat","Taouila","33.8703247","1.8560849"
"Oum El Bouaghi","Aïn Babouche","35.9422315","7.1874854"
"Oum El Bouaghi","Aïn Beïda","35.7952839","7.3894346"
"Oum El Bouaghi","Aïn Diss","36.0336543","7.0024975"
"Oum El Bouaghi","Aïn Fakroun","35.9735846","6.8759954"
"Oum El Bouaghi","Aïn Kercha","35.9233662","6.7022898"
"Oum El Bouaghi","Ain M'lila","36.0375444","6.570986"
"Oum El Bouaghi","Aïn Zitoun","35.6841828","6.9357762"
"Oum El Bouaghi","Behir Chergui","35.7943152","7.7187909"
"Oum El Bouaghi","Berriche","35.917798","7.3769813"
"Oum El Bouaghi","Bir Chouhada","35.895447","6.2933546"
"Oum El Bouaghi","Dhalaa","35.460285","7.5500058"
"Oum El Bouaghi","El Amiria","36.0718842","6.905992"
"Oum El Bouaghi","El Belala","35.6647855","7.7889827"
"Oum El Bouaghi","El Djazia","35.6631119","7.5081446"
"Oum El Bouaghi","El Fedjoudj Boughrara Saoudi","35.7103668","6.8193521"
"Oum El Bouaghi","F'Kirina","35.6608817","7.2972243"
"Oum El Bouaghi","Hanchir Toumghani","35.9346179","6.7412657"
"Oum El Bouaghi","Ksar Sbahi","36.0614655","7.2530315"
"Oum El Bouaghi","Meskiana","35.6291407","7.6694143"
"Oum El Bouaghi","Oued Nini","35.5721271","7.3490145"
"Oum El Bouaghi","Ouled Gacem","35.9267541","5.6016226"
"Oum El Bouaghi","Ouled Hamla","36.0795998","6.4720919"
"Oum El Bouaghi","Ouled Zouai","35.8402214","6.5114278"
"Oum El Bouaghi","Oum El Bouaghi","35.8105805","7.0184178"
"Oum El Bouaghi","El Rahia","35.7636048","7.6447871"
"Oum El Bouaghi","Sigus","36.1239401","6.7854947"
"Oum El Bouaghi","Souk Naamane","35.8953079","6.3925749"
"Oum El Bouaghi","Zorg","35.812986","7.4887122"
"Batna","Aïn Djasser","35.8596869","6.0012835"
"Batna","Aïn Touta","35.3752089","5.894213"
"Batna","Aïn Yagout","35.7761517","6.4176839"
"Batna","Arris","35.258514","6.3449818"
"Batna","Abdelkader Azil","35.3236825","5.0149826"
"Batna","Barika","35.3845042","5.3705996"
"Batna","Batna","35.3384291","5.7315453"
"Batna","Beni Foudhala El Hakania","35.3781586","6.0607501"
"Batna","Bitam","35.3077781","5.3740815"
"Batna","Boulehilet","35.7248041","6.6625594"
"Batna","Boumagueur","35.5051588","5.5525246"
"Batna","Boumia","35.6775992","6.4820804"
"Batna","Bouzina","35.2648362","6.0988647"
"Batna","Chemora","35.6670882","6.6433334"
"Batna","Chir","35.2179401","6.132079"
"Batna","Djerma","35.6623355","6.3097241"
"Batna","Djezzar","35.5082551","5.2676704"
"Batna","El Hassi","35.7804724","5.9503611"
"Batna","El Madher","35.6258746","6.3706722"
"Batna","Fesdis","35.6181167","6.2464392"
"Batna","Foum Toub","35.404396","6.5503509"
"Batna","Ghassira","35.0970768","6.2228071"
"Batna","Gosbat","35.6166217","5.4709454"
"Batna","Guigba","35.7341561","5.5896477"
"Batna","Hidoussa","35.5284609","5.9375835"
"Batna","Ichemoul","35.3095106","6.5100105"
"Batna","Inoughissen","35.3049403","6.5483876"
"Batna","Kimmel","35.2166875","6.5449007"
"Batna","Ksar Belezma","35.6762717","5.9021516"
"Batna","Larbaa","35.3545416","6.1410784"
"Batna","Lazrou","35.8073846","6.225302"
"Batna","Lemsen","35.6570774","5.7982758"
"Batna","M'Doukel","35.1216575","5.1821243"
"Batna","Maafa","35.2663121","5.9018467"
"Batna","Menaa ","35.0926941","6.013753"
"Batna","Merouana","35.6320555","5.913138"
"Batna","N'Gaous","35.5546743","5.6037832"
"Batna","Oued Chaaba","35.5051994","6.077491"
"Batna","Oued el Ma","35.116714","6.6268164"
"Batna","Oued Taga","35.4323373","6.4146079"
"Batna","Ouled Ammar","35.4622558","5.1560233"
"Batna","Ouled Aouf","35.4554535","5.7564355"
"Batna","Ouled Fadel","35.5558054","6.6785087"
"Batna","Ouled Sellam","35.8263866","5.8836213"
"Batna","Ouled Si Slimane","35.61043","5.6322042"
"Batna","Ouyoun El Assafir","35.5556005","6.3083393"
"Batna","Rahbat","35.7128568","5.6562846"
"Batna","Ras El Aioun","35.6758524","5.6515672"
"Batna","Sefiane","35.4379384","5.5597763"
"Batna","Seggana","35.3641602","5.5719001"
"Batna","Seriana","35.6925612","6.1850558"
"Batna","T'Kout","35.1403816","6.3085503"
"Batna","Talkhamt","35.6669798","5.7854012"
"Batna","Taxlent","35.6055933","5.800679"
"Batna","Tazoult","35.4860091","6.2536097"
"Batna","Teniet El Abed","35.2550676","6.2012328"
"Batna","Tighanimine","35.1853431","6.249225"
"Batna","Tigherghar","35.077372","5.9797925"
"Batna","Tilatou","35.3292158","5.7931239"
"Batna","Timgad","35.4836328","6.4668121"
"Batna","Zana El Beida","35.8098177","6.1331392"
"Bejaia","Adekar","36.6929171","4.6734299"
"Bejaia","Ait R'Zine","36.368882","4.4866713"
"Bejaia","Ait Smail","36.5536462","5.2297301"
"Bejaia","Akbou","36.4597538","4.5289243"
"Bejaia","Akfadou","36.6578395","4.6068165"
"Bejaia","Amalou","36.4774607","4.63266"
"Bejaia","Amizour","36.6439022","4.9036535"
"Bejaia","Aokas","36.6376518","5.2453122"
"Bejaia","Barbacha","36.5734726","4.9693825"
"Bejaia","Bejaia","36.7511783","5.0643687"
"Bejaia","Beni Djellil","36.5728807","4.8104334"
"Bejaia","Beni Ksila","36.881989","4.6643892"
"Bejaia","Beni Melikeche","36.4471796","4.4102266"
"Bejaia","Beni Maouche","36.487699","4.7874919"
"Bejaia","Boudjellil","36.3498654","4.4141916"
"Bejaia","Bouhamza","36.4450868","4.6855035"
"Bejaia","Boukhelifa","36.6368914","5.0749708"
"Bejaia","Chellata","36.5187102","4.495462"
"Bejaia","Chemini","36.5944018","4.6210413"
"Bejaia","Darguina","36.564307","5.3063118"
"Bejaia","Draa El Kaid","36.4401743","5.236533"
"Bejaia","Leflaye","36.6090456","4.6713413"
"Bejaia","El Kseur","36.6794351","4.8523757"
"Bejaia","Fenaia Ilmaten","36.6660742","4.7929964"
"Bejaia","Feraoun","36.5580756","4.8660488"
"Bejaia","Ouzellaguen","36.5478525","4.5766984"
"Bejaia","Ighil Ali","36.3378593","4.470196"
"Bejaia","Ighram","36.4622509","4.5042534"
"Bejaia","Kendira","36.557728","5.0215874"
"Bejaia","Kherrata","36.4936262","5.2771041"
"Bejaia","M'Cisna","36.5642493","4.7314768"
"Bejaia","Melbou","36.6403282","5.3626372"
"Bejaia","Oued Ghir","36.7145276","4.9861309"
"Bejaia","Seddouk","36.5472337","4.6894642"
"Bejaia","Sidi Ayad","36.1325114","1.9004148"
"Bejaia","Sidi Aich","36.6127914","4.6913091"
"Bejaia","Semaoun","36.6084692","4.8224282"
"Bejaia","Souk El Tenine","36.5950832","4.007301"
"Bejaia","Souk Oufella","36.6054725","4.6382952"
"Bejaia","Tala Hamza","36.7029253","5.0394177"
"Bejaia","Tamokra","36.3980867","4.6671349"
"Bejaia","Tamridjet","36.5721683","5.3746744"
"Bejaia","Taourirt Ighil","36.6995991","4.6977077"
"Bejaia","Taskriout","36.5558587","5.2799112"
"Bejaia","Tazmalt","36.3885111","4.4000106"
"Bejaia","Tibane","36.6135798","4.652601"
"Bejaia","Tichy","36.668951","5.1574875"
"Bejaia","Tifra","36.6663065","4.6974299"
"Bejaia","Timezrit","36.6155736","4.7683245"
"Bejaia","Thinabdher","36.6232839","4.6781911"
"Bejaia","Tizi N'Berbar","36.6051581","5.1983403"
"Bejaia","Toudja","36.7525317","4.8971215"
"Biskra","Ain Naga","34.6535415","6.1416099"
"Biskra","Ain Zaatout","35.146374","5.8373678"
"Biskra","Biskra","34.7845635","5.8124353"
"Biskra","Bordj Ben Azzouz","34.6957162","5.3612562"
"Biskra","Bouchagroune","34.7206559","5.4677965"
"Biskra","Branis","34.9947631","5.772251"
"Biskra","Chetma","34.8447307","5.7939424"
"Biskra","Djemourah","35.0689799","5.8448638"
"Biskra","El Feidh","34.523707","6.5240845"
"Biskra","El Ghrous","34.7054162","5.2854921"
"Biskra","El-Hadjab","36.0658033","4.7709947"
"Biskra","El Haouch","36.0774592","4.4641828"
"Biskra","El Kantara","35.2231152","5.7092844"
"Biskra","El Outaya","35.0345657","5.58955"
"Biskra","Foughala","34.7309552","5.3260042"
"Biskra","Khenguet Sidi Nadji","34.8053146","6.7059204"
"Biskra","Lichana","34.7251766","5.4356505"
"Biskra","Lioua","34.6392137","5.4009134"
"Biskra","M'Chouneche","34.9368872","5.9905011"
"Biskra","Mekhadma","34.5644591","5.4612955"
"Biskra","El mizaraa","34.7207686","6.2947449"
"Biskra","M'lili","35.4178016","-1.1790731"
"Biskra","Oumache","34.6952035","5.6991395"
"Biskra","Ourlal","34.6562915","5.5120852"
"Biskra","Sidi Okba","34.7497613","5.9107849"
"Biskra","tolga","34.73212","5.3830752"
"Biskra","Zeribet El Oued","34.6830199","6.5047333"
"Bechar","Abadla","31.0274839","-2.7104418"
"Bechar","Bechar","31.385726","-2.0115958"
"Bechar","Beni Ounif","32.0501891","-1.2486808"
"Bechar","Boukais","31.9244504","-2.4678608"
"Bechar","Erg Ferradj","31.035729","-2.7896737"
"Bechar","Kenadsa","31.5545321","-2.432661"
"Bechar","Lahmar","31.9326993","-2.2593871"
"Bechar","Mechraa Houari Boumediene","30.9320605","-2.7375766"
"Bechar","Meridja","31.5491648","-2.9473825"
"Bechar","Mougheul","32.0233478","-2.2182475"
"Bechar","Tabelbala","29.4054154","-3.2553664"
"Bechar","Taghit","30.9170611","-2.0294754"
"Blida","Aïn Romana","36.4062394","2.6913929"
"Blida","Beni Mered","36.523526","2.8616102"
"Blida","Beni Tamou","36.5374705","2.8206529"
"Blida","Benkhelil","36.5881966","2.8369666"
"Blida","Blida","36.4701645","2.8287985"
"Blida","Bouarfa","36.4638905","2.8126394"
"Blida","Boufarik","36.5755523","2.9128963"
"Blida","Bougara","35.5551256","1.963653"
"Blida","Bouinan","36.5322102","2.9918496"
"Blida","Chebli","36.5780957","3.0076619"
"Blida","Chiffa","36.4622287","2.7409097"
"Blida","Chrea","36.4304986","2.8862034"
"Blida","Djebabra","36.5830087","3.2688001"
"Blida","El Affroun","36.46975","2.6267421"
"Blida","Guerrouaou","36.5264595","2.886115"
"Blida","Hammam Melouane","36.4869259","3.0446077"
"Blida","Larbaa","35.3545416","6.1410784"
"Blida","Meftah","36.6198845","3.2222298"
"Blida","Mouzaia","36.4674416","2.6879953"
"Blida","Oued Djer","36.4268459","2.5605348"
"Blida","Oued El Alleug","36.5558374","2.7896358"
"Blida","Ouled Slama","36.5534582","3.1153628"
"Blida","Ouled Yaïch","35.8032888","0.971754"
"Blida","Souhane","36.5065702","3.2376389"
"Blida","Soumaa","36.5184909","2.9084853"
"Bouira","Aghbalou","36.427009","4.352646"
"Bouira","Ahl El Ksar","36.2528069","4.0414067"
"Bouira","Ain El Hadjar","36.3402284","3.8095209"
"Bouira","Aïn Laloui","36.3068106","3.750671"
"Bouira","Ain Turk","36.3932061","3.8246043"
"Bouira","Aïn Bessem","36.2929113","3.6735417"
"Bouira","Aït Laaziz","36.4445645","3.8807851"
"Bouira","Aomar","36.492393","3.7711939"
"Bouira","Bechloul","36.312195","4.0749566"
"Bouira","Bir Ghbalou","36.2628812","3.5850113"
"Bouira","Bordj Oukhris","36.0932471","3.9107303"
"Bouira","Bouderbala","36.5808208","3.5099986"
"Bouira","Bouira","36.2316481","3.9082579"
"Bouira","Boukram","36.5416035","3.3971591"
"Bouira","Chorfa","35.4306621","-0.2462883"
"Bouira","Dechmia","36.1304762","3.5765765"
"Bouira","Dirah","36.0022631","3.7215177"
"Bouira","Djebahia","36.4768208","3.758111"
"Bouira","El Adjiba","36.3293456","4.1586858"
"Bouira","El Asnam","36.3212726","4.0130501"
"Bouira","El Hachimia","36.2225033","3.8142848"
"Bouira","El Khabouzia","36.309078","3.5971679"
"Bouira","El Hakimia","36.0907338","3.7936351"
"Bouira","El Mokrani","36.4244079","3.6121625"
"Bouira","Guerrouma","36.4326797","3.4277272"
"Bouira","Hadjera Zergua","35.947624","3.8225334"
"Bouira","Haizer","36.3979925","3.9994448"
"Bouira","Ahnif","36.3347997","4.2617798"
"Bouira","Kadiria","36.5354385","3.6788401"
"Bouira","Lakhdaria","36.5644827","3.5967523"
"Bouira","M'Chedallah","36.3646864","4.2711718"
"Bouira","Maala","36.4943805","3.5892339"
"Bouira","Mamora","36.0331234","3.5514666"
"Bouira","Mezdour","36.0680635","4.056265"
"Bouira","Oued El Bardi","36.2885851","3.9180743"
"Bouira","Ouled Rached","36.203503","4.1167725"
"Bouira","Raouraoua","36.2362601","3.6463352"
"Bouira","Ridane","36.0738879","3.4620784"
"Bouira","Saharidj","36.3974847","4.2482336"
"Bouira","Souk El Khemis","36.3912273","3.631778"
"Bouira","Sour El Ghozlane","36.147376","3.691797"
"Bouira","Taghzout","33.4754769","6.7998514"
"Bouira","Taguedit","36.0192193","3.9898176"
"Bouira","Ath Mansour","36.3278259","4.3172601"
"Bouira","Zbarbar","36.4726655","3.513905"
"Tamanrasset","Abalessa","22.8895834","4.8469931"
"Tamanrasset","Moulay Lahcene","24.7085076","4.6512481"
"Tamanrasset","Idles","23.8204317","5.935768"
"Tamanrasset","Tamanrasset","24.3753438","4.3208436"
"Tamanrasset","Tazrouk","23.4196225","6.2658907"
"Tamanrasset","Tinzaouten","19.9541906","2.9694782"
"Tebessa","Ain Zerga","35.6480159","8.2603257"
"Tebessa","Bedjene","35.3493304","7.4715565"
"Tebessa","Bekkaria","35.3746584","8.2407034"
"Tebessa","Bir Dheb","35.5245771","7.9395054"
"Tebessa","Bir Mokkadem","35.3704032","7.8085014"
"Tebessa","Bir El Ater","34.7441882","8.0584012"
"Tebessa","Boukhadra","35.7449518","8.0346837"
"Tebessa","Boulhaf Dir","35.4883881","8.0696888"
"Tebessa","Cheria","35.2706778","7.7527115"
"Tebessa","El Kouif","35.500823","8.321967"
"Tebessa","El Ma Labiodh","35.2060924","8.1719694"
"Tebessa","El Meridj","35.7933758","8.2292549"
"Tebessa","El Mezeraa","35.2627644","7.5767868"
"Tebessa","El Ogla","33.2465995","6.9460807"
"Tebessa","Ogla Melha","35.1331931","8.0066489"
"Tebessa","El Aouinet","35.8932925","3.035866"
"Tebessa","El Houidjbet","35.2930512","8.2801524"
"Tebessa","Ferkane","34.5554155","7.4130616"
"Tebessa","Guorriguer","35.4235462","7.5940784"
"Tebessa","Hammamet","36.8128133","2.9738147"
"Tebessa","Morsott","35.6717654","8.0102728"
"Tebessa","Negrine","34.4855133","7.5219594"
"Tebessa","Ouenza","35.9445854","8.1369011"
"Tebessa","Oum Ali","35.0113285","8.3007443"
"Tebessa","Safsaf El Ouesra","34.9564825","8.2071255"
"Tebessa","Stah Guentis","34.9987136","7.3078332"
"Tebessa","Tébessa","35.124945","7.9011735"
"Tebessa","Tlidjene","35.1182583","7.768359"
"Tlemcen","Aïn Fetah","34.9655836","-1.6375286"
"Tlemcen","Aïn Fezza","34.8780405","-1.2348586"
"Tlemcen","Ain Ghoraba","34.7137838","-1.3890968"
"Tlemcen","Aïn El Kebira","36.3648446","5.5069356"
"Tlemcen","Ain Nahala","35.026972","-0.9324604"
"Tlemcen","Aïn Tallout","34.9299907","-0.9542742"
"Tlemcen","Aïn Youcef","35.0472865","-1.3739319"
"Tlemcen","Amieur","35.0351556","-1.2389953"
"Tlemcen","Bab El Assa","34.9661057","-2.0317999"
"Tlemcen","Beni Bahdel","34.6937442","-1.5187011"
"Tlemcen","Beni Boussaid","34.6480251","-1.7529879"
"Tlemcen","Beni khellad","35.18283","-1.5846786"
"Tlemcen","Beni Mester","34.8704485","-1.4210036"
"Tlemcen","Beni Ouarsous","35.091454","-1.5830375"
"Tlemcen","Beni Semiel","34.7851213","-1.0917147"
"Tlemcen","Beni Snous","34.662202","-1.5397782"
"Tlemcen","Bensekrane","35.072063","-1.2273507"
"Tlemcen","Bouhlou","34.7738735","-1.5729461"
"Tlemcen","El Bouihi","34.4138137","-1.6858993"
"Tlemcen","Chetouane","34.9207591","-1.2910642"
"Tlemcen","Dar Yaghmoracen","35.0996229","-1.7995457"
"Tlemcen","Djebala","34.9599088","-1.8212834"
"Tlemcen","Aricha","34.2240422","-1.2576653"
"Tlemcen","AZAIL","34.6806049","-1.4814418"
"Tlemcen","El Fehoul","35.1156547","-1.2947853"
"Tlemcen","El Gor","34.6379987","-1.1532242"
"Tlemcen","Fellaoucene","35.0349898","-1.5991302"
"Tlemcen","Ghazaouet","35.093863","-1.86322"
"Tlemcen","Hammam Boughrara","34.8936813","-1.6382574"
"Tlemcen","Hennaya","34.9506637","-1.3667337"
"Tlemcen","Honaine","35.156476","-1.6745654"
"Tlemcen","Maghnia","34.847199","-1.729658"
"Tlemcen","Mansourah","34.8730025","-1.3296478"
"Tlemcen","Marsa Ben M'Hidi","35.0817992","-2.2043971"
